ID_Consumidor,Genero,Idoso,Parceiro,Dependentes,Nro_Meses_Cliente_na_Empresa,Servico_Telefone,Muitas_Linhas_Telefone,Servico_Internet,Seguranca_OnLine,Backup_OnLine,Dispositivo_Protecao,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Contrato,Faturamento_Sem_Papel,Metodo_Pagamento,Valor_Mensal,Valor_Total,Rotatividade
7590-VHVEG,F,0,S,N,1,N,Sem_Telefone,DSL,N,S,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,29.85,29.85,N
5575-GNVDE,M,0,N,N,34,S,N,DSL,S,N,S,N,N,N,Anual,N,Cheque_Fisico,56.95,1889.5,N
3668-QPYBK,M,0,N,N,2,S,N,DSL,S,S,N,N,N,N,Mes-a-mes,S,Cheque_Fisico,53.85,108.15,S
7795-CFOCW,M,0,N,N,45,N,Sem_Telefone,DSL,S,N,S,S,N,N,Anual,N,Transferencia_bancaria,42.3,1840.75,N
9237-HQITU,F,0,N,N,2,S,N,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,70.7,151.65,S
9305-CDSKC,F,0,N,N,8,S,S,Fibra_otica,N,N,S,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,99.65,820.5,S
1452-KIOVK,M,0,N,S,22,S,S,Fibra_otica,N,S,N,N,S,N,Mes-a-mes,S,Cartao_Credito,89.1,1949.4,N
6713-OKOMC,F,0,N,N,10,N,Sem_Telefone,DSL,S,N,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,29.75,301.9,N
7892-POOKP,F,0,S,N,28,S,S,Fibra_otica,N,N,S,S,S,S,Mes-a-mes,S,Cheque_Eletronico ,104.8,3046.05,S
6388-TABGU,M,0,N,S,62,S,N,DSL,S,S,N,N,N,N,Anual,N,Transferencia_bancaria,56.15,3487.95,N
9763-GRSKD,M,0,S,S,13,S,N,DSL,S,N,N,N,N,N,Mes-a-mes,S,Cheque_Fisico,49.95,587.45,N
7469-LKBCI,M,0,N,N,16,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,18.95,326.8,N
8091-TTVAX,M,0,S,N,58,S,S,Fibra_otica,N,N,S,N,S,S,Anual,N,Cartao_Credito,100.35,5681.1,N
0280-XJGEX,M,0,N,N,49,S,S,Fibra_otica,N,S,S,N,S,S,Mes-a-mes,S,Transferencia_bancaria,103.7,5036.3,S
5129-JLPIS,M,0,N,N,25,S,N,Fibra_otica,S,N,S,S,S,S,Mes-a-mes,S,Cheque_Eletronico ,105.5,2686.05,N
3655-SNQYZ,F,0,S,S,69,S,S,Fibra_otica,S,S,S,S,S,S,Bi-Anual,N,Cartao_Credito,113.25,7895.15,N
8191-XWSZG,F,0,N,N,52,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,20.65,1022.95,N
9959-WOFKT,M,0,N,S,71,S,S,Fibra_otica,S,N,S,N,S,S,Bi-Anual,N,Transferencia_bancaria,106.7,7382.25,N
4190-MFLUW,F,0,S,S,10,S,N,DSL,N,N,S,S,N,N,Mes-a-mes,N,Cartao_Credito,55.2,528.35,S
4183-MYFRB,F,0,N,N,21,S,N,Fibra_otica,N,S,S,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,90.05,1862.9,N
8779-QRDMV,M,1,N,N,1,N,Sem_Telefone,DSL,N,N,S,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,39.65,39.65,S
1680-VDCWW,M,0,S,N,12,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Transferencia_bancaria,19.8,202.25,N
1066-JKSGK,M,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,20.15,20.15,S
3638-WEABW,F,0,S,N,58,S,S,DSL,N,S,N,S,N,N,Bi-Anual,S,Cartao_Credito,59.9,3505.1,N
6322-HRPFA,M,0,S,S,49,S,N,DSL,S,S,N,S,N,N,Mes-a-mes,N,Cartao_Credito,59.6,2970.3,N
6865-JZNKO,F,0,N,N,30,S,N,DSL,S,S,N,N,N,N,Mes-a-mes,S,Transferencia_bancaria,55.3,1530.6,N
6467-CHFZW,M,0,S,S,47,S,S,Fibra_otica,N,S,N,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,99.35,4749.15,S
8665-UTDHZ,M,0,S,S,1,N,Sem_Telefone,DSL,N,S,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,30.2,30.2,S
5248-YGIJN,M,0,S,N,72,S,S,DSL,S,S,S,S,S,S,Bi-Anual,S,Cartao_Credito,90.25,6369.45,N
8773-HHUOZ,F,0,N,S,17,S,N,DSL,N,N,N,N,S,S,Mes-a-mes,S,Cheque_Fisico,64.7,1093.1,S
3841-NFECX,F,1,S,N,71,S,S,Fibra_otica,S,S,S,S,N,N,Bi-Anual,S,Cartao_Credito,96.35,6766.95,N
4929-XIHVW,M,1,S,N,2,S,N,Fibra_otica,N,N,S,N,S,S,Mes-a-mes,S,Cartao_Credito,95.5,181.65,N
6827-IEAUQ,F,0,S,S,27,S,N,DSL,S,S,S,S,N,N,Anual,N,Cheque_Fisico,66.15,1874.45,N
7310-EGVHZ,M,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Transferencia_bancaria,20.2,20.2,N
3413-BMNZE,M,1,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Transferencia_bancaria,45.25,45.25,N
6234-RAAPL,F,0,S,S,72,S,S,Fibra_otica,S,S,N,S,S,N,Bi-Anual,N,Transferencia_bancaria,99.9,7251.7,N
6047-YHPVI,M,0,N,N,5,S,N,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,69.7,316.9,S
6572-ADKRS,F,0,N,N,46,S,N,Fibra_otica,N,N,S,N,N,N,Mes-a-mes,S,Cartao_Credito,74.8,3548.3,N
5380-WJKOV,M,0,N,N,34,S,S,Fibra_otica,N,S,S,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,106.35,3549.25,S
8168-UQWWF,F,0,N,N,11,S,S,Fibra_otica,N,N,S,N,S,S,Mes-a-mes,S,Transferencia_bancaria,97.85,1105.4,S
8865-TNMNX,M,0,S,S,10,S,N,DSL,N,S,N,N,N,N,Anual,N,Cheque_Fisico,49.55,475.7,N
9489-DEDVP,F,0,S,S,70,S,S,DSL,S,S,N,N,S,N,Bi-Anual,S,Cartao_Credito,69.2,4872.35,N
